CID,SMILES
9991554,CCN(CC)CCC1=CNC2=C1C(=CC=C2)O
21854225,CC(C)N(CCC1=CNC2=C1C(=CC=C2)O)C(C)C
4980,CN(C)CCC1=CNC2=C1C(=CC=C2)O
10257,CN(C)CCC1=CNC2=C1C=C(C=C2)O
21854223,CCCN(CCC)CCC1=CNC2=C1C(=CC=C2)O
21786582,CCN(C)CCC1=CNC2=C1C(=CC=C2)O
10082683,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)O
21786584,CCCN(C)CCC1=CNC2=C1C(=CC=C2)O
21854226,C1CCN(C1)CCC2=CNC3=C2C(=CC=C3)O
197060,CC[C@H]1C[C@@H]2C[C@@H]3[C@H]1N(C2)CCC4=C3NC5=C4C=C(C=C5)OC
5761,CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C
44719457,CCCCN(C)CCC1=CNC2=CC=CC=C21
44383444,CC(C)N(CCC1=CNC2=C1C3=C(C=C2)OCO3)C(C)C
13141004,CC(C)N(CCC1=CNC2=CC3=C(C=C21)OCO3)C(C)C
44278540,CN(C)CCC1=CNC2=C1C3=C(C=C2)OCO3
13140993,CN(C)CCC1=CNC2=CC3=C(C=C21)OCO3
13140997,CC(C)N(C)CCC1=CNC2=CC3=C(C=C21)OCO3
33561,CCN(CC)CCC1=C(NC2=CC=CC=C21)C
11820174,CC1=C(C2=CC=CC=C2N1)CCN(C)C
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
417608,CCN(CC)CCC1=CNC2=C1C=C(C=C2)OC
151182,CC(C)N(CCC1=CNC2=C1C=C(C=C2)OC)C(C)C
1832,CN(C)CCC1=CNC2=C1C=C(C=C2)OC
29935317,CC(C)N(C)CCC1=CNC2=C1C(=CC=C2)OC
2763156,CC(C)N(C)CCC1=CNC2=C1C=C(C=C2)OC
44382345,CC(C)N(C)CCC1=CNC2=CC(=C(C=C21)OC)OC
16184,CNCCC1=CNC2=C1C=C(C=C2)OC
